Time(ms),Position
0,0
100,0.005
200,0.02
300,0.045
400,0.08
500,0.125501
600,0.180601
700,0.2457
800,0.320801
900,0.405901
1000,0.502002
1100,0.607202
1200,0.722402
1300,0.847602
1400,0.984204
1500,1.1295
1600,1.2848
1700,1.4501
1800,1.6254
1900,1.81261
2000,2.008
2100,2.208
2200,2.408
2300,2.61
2400,2.81
2500,3.01
2600,3.21
2700,3.412
2800,3.612
2900,3.812
3000,4.012
3100,4.212
3200,4.414
3300,4.614
3400,4.814
3500,5.014
3600,5.216
3700,5.416
3800,5.616
3900,5.816
4000,6.016
4100,6.218
4200,6.418
4300,6.618
4400,6.818
4500,7.02
4600,7.22
4700,7.42
4800,7.62
4900,7.822
5000,8.02194
5100,8.21584
5200,8.39974
5300,8.57364
5400,8.73913
5500,8.89293
5600,9.03673
5700,9.17053
5800,9.29552
5900,9.40922
6000,9.51292
6100,9.60662
6200,9.69032
6300,9.7647
6400,9.8283
6500,9.8819
6600,9.9255
6700,9.95939
6800,9.98289
6900,9.99639
7000,10
7100,10
7200,10
7300,10
7400,10
7500,10
7600,10
7700,10
7800,10
7900,10
8000,10
8100,10
8200,10
8300,10
8400,10
8500,10
8600,10
8700,10
8800,10
8900,10
9000,10
9100,10
9200,10
9300,10
9400,10
9500,10
9600,10
9700,10
9800,10
9900,10
